10101,1.2.0.0/16,"(10101, 10094, 13335, 20473, 52025, 42, 10886, 27)"
10101,1.2.3.0/24,"(10101, 10094, 13335, 15830, 198949, 396450, 2152, 25)"
10102,1.2.0.0/16,"(10102, 58778, 9583, 45582, 13335, 20473, 52025, 42, 10886, 27)"
10102,1.2.3.0/24,"(10102, 58778, 9583, 45582, 13335, 15830, 198949, 396450, 2152, 25)"
10103,1.2.0.0/16,"(10103, 6939, 52025, 42, 10886, 27)"
10103,1.2.3.0/24,"(10103, 4637, 198949, 396450, 2152, 25)"
10105,1.2.0.0/16,"(10105, 1221, 20473, 52025, 42, 10886, 27)"
10105,1.2.3.0/24,"(10105, 1221, 198949, 396450, 2152, 25)"
10106,1.2.0.0/16,"(10106, 7575, 42, 10886, 27)"
10106,1.2.3.0/24,"(10106, 7575, 2152, 25)"
10108,1.2.0.0/16,"(10108, 15830, 20473, 52025, 42, 10886, 27)"
10108,1.2.3.0/24,"(10108, 15830, 198949, 396450, 2152, 25)"
10109,1.2.0.0/16,"(10109, 45204, 13335, 20473, 52025, 42, 10886, 27)"
10109,1.2.3.0/24,"(10109, 45204, 13335, 15830, 198949, 396450, 2152, 25)"
1011,1.2.0.0/16,"(1011, 6939, 52025, 42, 10886, 27)"
1011,1.2.3.0/24,"(1011, 9002, 198949, 396450, 2152, 25)"
10110,1.2.0.0/16,"(10110, 38022, 2907, 7660, 11537, 10886, 27)"
10110,1.2.3.0/24,"(10110, 38022, 4826, 198949, 396450, 2152, 25)"
10111,1.2.0.0/16,"(10111, 2500, 7660, 11537, 10886, 27)"
10111,1.2.3.0/24,"(10111, 5580, 38195, 15830, 198949, 396450, 2152, 25)"
10112,1.2.0.0/16,"(10112, 25369, 52025, 42, 10886, 27)"
10112,1.2.3.0/24,"(10112, 25369, 52025, 852, 19835, 812, 198949, 396450, 2152, 25)"
10116,1.2.0.0/16,"(10116, 17794, 10118, 6939, 52025, 42, 10886, 27)"
10116,1.2.3.0/24,"(10116, 17794, 10118, 9002, 198949, 396450, 2152, 25)"
10118,1.2.0.0/16,"(10118, 6939, 52025, 42, 10886, 27)"
10118,1.2.3.0/24,"(10118, 9002, 198949, 396450, 2152, 25)"
10122,1.2.0.0/16,"(10122, 6939, 52025, 42, 10886, 27)"
10122,1.2.3.0/24,"(10122, 4826, 198949, 396450, 2152, 25)"
10123,1.2.0.0/16,"(10123, 21788, 174, 10886, 27)"
10123,1.2.3.0/24,"(10123, 21788, 4755, 198949, 396450, 2152, 25)"
10125,1.2.0.0/16,"(10125, 4755, 20473, 52025, 42, 10886, 27)"
10125,1.2.3.0/24,"(10125, 4755, 198949, 396450, 2152, 25)"
10126,1.2.0.0/16,"(10126, 3462, 13335, 20473, 52025, 42, 10886, 27)"
10126,1.2.3.0/24,"(10126, 3462, 13335, 15830, 198949, 396450, 2152, 25)"
10127,1.2.0.0/16,"(10127, 3758, 6461, 10886, 27)"
10127,1.2.3.0/24,"(10127, 4637, 198949, 396450, 2152, 25)"
10128,1.2.0.0/16,"(10128, 7545, 20473, 52025, 42, 10886, 27)"
10128,1.2.3.0/24,"(10128, 7474, 38195, 15830, 198949, 396450, 2152, 25)"
10129,1.2.0.0/16,"(10129, 4637, 20473, 52025, 42, 10886, 27)"
10129,1.2.3.0/24,"(10129, 4637, 198949, 396450, 2152, 25)"
10130,1.2.0.0/16,"(10130, 6461, 10886, 27)"
10130,1.2.3.0/24,"(10130, 6461, 812, 198949, 396450, 2152, 25)"
10131,1.2.0.0/16,"(10131, 6939, 52025, 42, 10886, 27)"
10131,1.2.3.0/24,"(10131, 6939, 4826, 198949, 396450, 2152, 25)"
10132,1.2.0.0/16,"(10132, 10098, 6939, 52025, 42, 10886, 27)"
10132,1.2.3.0/24,"(10132, 10098, 9002, 198949, 396450, 2152, 25)"
10133,1.2.0.0/16,"(10133, 4788, 15830, 20473, 52025, 42, 10886, 27)"
10133,1.2.3.0/24,"(10133, 4788, 15830, 198949, 396450, 2152, 25)"
